"X" "chr" "start" "end" "strand" "gene.name" "center" "loci_group" "OR_cluster" "class"
"64" 1106476 "chr10" 129311180 129312108 "+" "Olfr779" 129311644 "chr10_1" "OR-Cluster-7" "II"
"65" 1106485 "chr10" 129318117 129324141 "+" "Olfr780" 129321129 "chr10_1" "OR-Cluster-7" "II"
"66" 1106502 "chr10" 129328854 129333844 "+" "Olfr781" 129331349 "chr10_1" "OR-Cluster-7" "II"
"67" 1106518 "chr10" 129348850 129352144 "+" "Olfr782" 129350497 "chr10_1" "OR-Cluster-7" "II"
"68" 1106534 "chr10" 129376961 129377401 "+" "Olfr783-ps1" 129377181 "chr10_1" "OR-Cluster-7" "II"
"69" 1106537 "chr10" 129384083 129390198 "+" "Olfr784" 129387140.5 "chr10_1" "OR-Cluster-7" "II"
"70" 1106555 "chr10" 129405426 129411193 "+" "Olfr785" 129408309.5 "chr10_1" "OR-Cluster-7" "II"
"71" 1106565 "chr10" 129427306 129439080 "+" "Olfr786" 129433193 "chr10_1" "OR-Cluster-7" "II"
"72" 1106583 "chr10" 129461862 129467485 "+" "Olfr787" 129464673.5 "chr10_1" "OR-Cluster-7" "II"
"73" 1106599 "chr10" 129470998 129476618 "+" "Olfr788" 129473808 "chr10_1" "OR-Cluster-7" "II"
"74" 1106615 "chr10" 129484752 129490542 "+" "Olfr789" 129487647 "chr10_1" "OR-Cluster-7" "II"
"75" 1106636 "chr10" 129498492 129503342 "+" "Olfr790" 129500917 "chr10_1" "OR-Cluster-7" "II"
"76" 1106669 "chr10" 129521792 129528353 "+" "Olfr791" 129525072.5 "chr10_1" "OR-Cluster-7" "II"
"77" 1106687 "chr10" 129539162 129542534 "+" "Olfr792" 129540848 "chr10_1" "OR-Cluster-7" "II"
"78" 1106703 "chr10" 129547660 129548554 "+" "Olfr793-ps1" 129548107 "chr10_1" "OR-Cluster-7" "II"
"79" 1106706 "chr10" 129567655 129573110 "+" "Olfr794" 129570382.5 "chr10_1" "OR-Cluster-7" "II"
"80" 1106724 "chr10" 129578680 129579442 "+" "Olfr795-ps1" 129579061 "chr10_1" "OR-Cluster-7" "II"
"81" 1106730 "chr10" 129605492 129612570 "-" "Olfr796" 129609031 "chr10_1" "OR-Cluster-7" "II"
"82" 1106746 "chr10" 129622198 129622612 "-" "Olfr797-ps1" 129622405 "chr10_1" "OR-Cluster-7" "II"
"83" 1106749 "chr10" 129622615 129627934 "-" "Olfr798" 129625274.5 "chr10_1" "OR-Cluster-7" "II"
"84" 1106765 "chr10" 129637484 129648326 "+" "Olfr799" 129642905 "chr10_1" "OR-Cluster-7" "II"
"85" 1106816 "chr10" 129657694 129662074 "+" "Olfr800" 129659884 "chr10_1" "OR-Cluster-7" "II"
"86" 1106833 "chr10" 129666989 129673865 "-" "Olfr801" 129670427 "chr10_1" "OR-Cluster-7" "II"
"87" 1106871 "chr10" 129677683 129688169 "-" "Olfr802" 129682926 "chr10_1" "OR-Cluster-7" "II"
"88" 1106898 "chr10" 129690621 129694286 "-" "Olfr803" 129692453.5 "chr10_1" "OR-Cluster-7" "II"
"89" 1106917 "chr10" 129703210 129710018 "+" "Olfr804" 129706614 "chr10_1" "OR-Cluster-7" "II"
"90" 1106936 "chr10" 129721221 129729375 "-" "Olfr805" 129725298 "chr10_1" "OR-Cluster-7" "II"
"91" 1106983 "chr10" 129735571 129741921 "-" "Olfr806" 129738746 "chr10_1" "OR-Cluster-7" "II"
"92" 1107008 "chr10" 129754092 129757793 "-" "Olfr807" 129755942.5 "chr10_1" "OR-Cluster-7" "II"
"93" 1107034 "chr10" 129765482 129771713 "+" "Olfr808" 129768597.5 "chr10_1" "OR-Cluster-7" "II"
"94" 1107050 "chr10" 129774638 129778937 "+" "Olfr809" 129776787.5 "chr10_1" "OR-Cluster-7" "II"
"95" 1107073 "chr10" 129787289 129794917 "-" "Olfr810" 129791103 "chr10_1" "OR-Cluster-7" "II"
"96" 1107118 "chr10" 129800615 129804396 "-" "Olfr811" 129802505.5 "chr10_1" "OR-Cluster-7" "II"
"97" 1107146 "chr10" 129841418 129846094 "-" "Olfr812" 129843756 "chr10_1" "OR-Cluster-7" "II"
"98" 1107176 "chr10" 129855367 129858722 "+" "Olfr813" 129857044.5 "chr10_1" "OR-Cluster-7" "II"
"99" 1107192 "chr10" 129871473 129879851 "-" "Olfr814" 129875662 "chr10_1" "OR-Cluster-7" "II"
"100" 1107221 "chr10" 129900570 129905867 "-" "Olfr815" 129903218.5 "chr10_1" "OR-Cluster-7" "II"
"101" 1107239 "chr10" 129909163 129915597 "-" "Olfr816" 129912380 "chr10_1" "OR-Cluster-7" "II"
"102" 1107261 "chr10" 129925158 129930481 "-" "Olfr1544-ps1" 129927819.5 "chr10_1" "OR-Cluster-7" "II"
"103" 1107265 "chr10" 129944396 129949100 "-" "Olfr818" 129946748 "chr10_1" "OR-Cluster-7" "II"
"104" 1107288 "chr10" 129963011 129967266 "-" "Olfr819" 129965138.5 "chr10_1" "OR-Cluster-7" "II"
"105" 1107304 "chr10" 129973831 129976140 "-" "Olfr247" 129974985.5 "chr10_1" "OR-Cluster-7" "II"
"106" 1107339 "chr10" 130012621 130021286 "+" "Olfr820" 130016953.5 "chr10_1" "OR-Cluster-7" "II"
"107" 1107365 "chr10" 130030348 130035071 "+" "Olfr821" 130032709.5 "chr10_1" "OR-Cluster-7" "II"
"108" 1107392 "chr10" 130071210 130076909 "+" "Olfr822" 130074059.5 "chr10_1" "OR-Cluster-7" "II"
"109" 1107409 "chr10" 130093093 130093844 "-" "Olfr1542-ps1" 130093468.5 "chr10_1" "OR-Cluster-7" "II"
"110" 1107412 "chr10" 130111527 130115383 "-" "Olfr823" 130113455 "chr10_1" "OR-Cluster-7" "II"
"111" 1107431 "chr10" 130123470 130130000 "-" "Olfr824" 130126735 "chr10_1" "OR-Cluster-7" "II"
"112" 1107460 "chr10" 130159732 130166766 "-" "Olfr825" 130163249 "chr10_1" "OR-Cluster-7" "II"
"113" 1107484 "chr10" 130178471 130184186 "-" "Olfr826" 130181328.5 "chr10_1" "OR-Cluster-7" "II"
"114" 1107511 "chr10" 130203049 130214403 "-" "Olfr827" 130208726 "chr10_1" "OR-Cluster-7" "II"
"115" 1129421 "chr11" 48978889 49135387 "+" "Olfr56" 49057138 "chr11_1" NA "II"
"116" 1129632 "chr11" 49109982 49114874 "-" "Olfr1396" 49112428 "chr11_1" "OR-Cluster-8" "II"
"117" 1129675 "chr11" 49142274 49150453 "+" "Olfr1395" 49146363.5 "chr11_1" "OR-Cluster-8" "II"
"118" 1129702 "chr11" 49154377 49162854 "+" "Olfr1394" 49158615.5 "chr11_1" "OR-Cluster-8" "II"
"119" 1129991 "chr11" 49278304 49282769 "+" "Olfr1393" 49280536.5 "chr11_1" "OR-Cluster-9" "II"
"120" 1130013 "chr11" 49285282 49295891 "+" "Olfr1392" 49290586.5 "chr11_1" "OR-Cluster-9" "II"
"121" 1130076 "chr11" 49304741 49320021 "+" "Olfr10" 49312381 "chr11_1" "OR-Cluster-9" "II"
"122" 1130092 "chr11" 49322742 49329810 "+" "Olfr1391" 49326276 "chr11_1" "OR-Cluster-9" "II"
"123" 1130109 "chr11" 49335188 49342247 "+" "Olfr1390" 49338717.5 "chr11_1" "OR-Cluster-9" "II"
"124" 1130130 "chr11" 49423067 49432968 "+" "Olfr1389" 49428017.5 "chr11_1" "OR-Cluster-9" "II"
"125" 1130166 "chr11" 49436624 49446103 "+" "Olfr1388" 49441363.5 "chr11_1" "OR-Cluster-9" "II"
"126" 1130186 "chr11" 49455343 49464001 "+" "Olfr1387" 49459672 "chr11_1" "OR-Cluster-9" "II"
"127" 1130202 "chr11" 49465046 49471715 "+" "Olfr1386" 49468380.5 "chr11_1" "OR-Cluster-9" "II"
"128" 1130230 "chr11" 49489070 49497496 "+" "Olfr1385" 49493283 "chr11_1" "OR-Cluster-9" "II"
"129" 1130252 "chr11" 49506724 49517345 "+" "Olfr1384" 49512034.5 "chr11_1" "OR-Cluster-9" "II"
"130" 1130269 "chr11" 49519648 49527199 "+" "Olfr1383" 49523423.5 "chr11_1" "OR-Cluster-9" "II"
"131" 1130286 "chr11" 49528247 49538691 "+" "Olfr1382" 49533469 "chr11_1" "OR-Cluster-9" "II"
"132" 1130349 "chr11" 49543449 49556127 "+" "Olfr1381" 49549788 "chr11_1" "OR-Cluster-9" "II"
"133" 1130365 "chr11" 49556878 49565859 "+" "Olfr1380" 49561368.5 "chr11_1" "OR-Cluster-9" "II"
"134" 1132242 "chr11" 50958948 50959948 "+" "Olfr1379-ps1" 50959448 "chr11_1" "OR-Cluster-10" "II"
"135" 1132245 "chr11" 50966530 50973113 "+" "Olfr1378" 50969821.5 "chr11_1" "OR-Cluster-10" "II"
"136" 1132266 "chr11" 50981967 50986593 "+" "Olfr1377" 50984280 "chr11_1" "OR-Cluster-10" "II"
"137" 1132292 "chr11" 50991791 50992745 "+" "Olfr1376-ps1" 50992268 "chr11_1" "OR-Cluster-10" "II"
"138" 1132295 "chr11" 51003596 51009676 "+" "Olfr51" 51006636 "chr11_1" "OR-Cluster-10" "II"
"139" 1132311 "chr11" 51014236 51031578 "+" "Olfr54" 51022907 "chr11_1" "OR-Cluster-10" "II"
"140" 1132336 "chr11" 51048109 51049050 "+" "Olfr1375" 51048579.5 "chr11_1" "OR-Cluster-10" "II"
"141" 1132418 "chr11" 51142532 51143467 "+" "Olfr1374-ps1" 51142999.5 "chr11_1" "OR-Cluster-10" "II"
"142" 1133921 "chr11" 52144593 52145528 "-" "Olfr1373" 52145060.5 "chr11_1" "OR-Cluster-11" "II"
"143" 1133928 "chr11" 52154722 52168159 "-" "Olfr1372-ps1" 52161440.5 "chr11_1" "OR-Cluster-11" "II"
"144" 1133938 "chr11" 52213052 52213987 "-" "Olfr1371" 52213519.5 "chr11_1" "OR-Cluster-11" "II"
"145" 1139506 "chr11" 58454105 58462270 "-" "Olfr30" 58458187.5 "chr11_2" "OR-Cluster-12" "II"
"146" 1139525 "chr11" 58476608 58481400 "-" "Olfr333-ps1" 58479004 "chr11_2" "OR-Cluster-12" "II"
"147" 1139532 "chr11" 58487950 58492555 "-" "Olfr332" 58490252.5 "chr11_2" "OR-Cluster-12" "II"
"148" 1139549 "chr11" 58501598 58502572 "-" "Olfr331" 58502085 "chr11_2" "OR-Cluster-12" "II"
"149" 1139565 "chr11" 58527186 58534836 "-" "Olfr330" 58531011 "chr11_2" "OR-Cluster-12" "II"
"150" 1139585 "chr11" 58539801 58546422 "-" "Olfr329-ps" 58543111.5 "chr11_2" "OR-Cluster-12" "II"
"151" 1139617 "chr11" 58550854 58555636 "-" "Olfr328" 58553245 "chr11_2" "OR-Cluster-12" "II"
"152" 1139661 "chr11" 58565856 58570553 "-" "Olfr224" 58568204.5 "chr11_2" "OR-Cluster-12" "II"
"153" 1139703 "chr11" 58574979 58575370 "-" "Olfr326-ps1" 58575174.5 "chr11_2" "OR-Cluster-12" "II"
"154" 1139706 "chr11" 58577730 58582365 "+" "Olfr325" 58580047.5 "chr11_2" "OR-Cluster-12" "II"
"155" 1139723 "chr11" 58595114 58600783 "+" "Olfr324" 58597948.5 "chr11_2" "OR-Cluster-12" "II"
"156" 1139789 "chr11" 58624159 58630501 "-" "Olfr323" 58627330 "chr11_2" "OR-Cluster-12" "II"
"157" 1139828 "chr11" 58658782 58669528 "+" "Olfr322" 58664155 "chr11_2" "OR-Cluster-12" "II"
"158" 1139954 "chr11" 58681099 58686233 "+" "Olfr320" 58683666 "chr11_2" "OR-Cluster-12" "II"
"159" 1139973 "chr11" 58699162 58703472 "+" "Olfr319" 58701317 "chr11_2" "OR-Cluster-12" "II"
"160" 1139992 "chr11" 58717197 58724014 "-" "Olfr318" 58720605.5 "chr11_2" "OR-Cluster-12" "II"
"161" 1140013 "chr11" 58731018 58739212 "-" "Olfr317" 58735115 "chr11_2" "OR-Cluster-12" "II"
"162" 1140047 "chr11" 58752734 58759671 "+" "Olfr316" 58756202.5 "chr11_2" "OR-Cluster-12" "II"
"163" 1140066 "chr11" 58773188 58780251 "+" "Olfr315" 58776719.5 "chr11_2" "OR-Cluster-12" "II"
"164" 1140083 "chr11" 58782952 58788768 "+" "Olfr314" 58785860 "chr11_2" "OR-Cluster-12" "II"
"165" 1140125 "chr11" 58815000 58819450 "+" "Olfr313" 58817225 "chr11_2" "OR-Cluster-12" "II"
"166" 1140142 "chr11" 58829237 58834780 "+" "Olfr312" 58832008.5 "chr11_2" "OR-Cluster-12" "II"
"167" 1140158 "chr11" 58839251 58844111 "+" "Olfr311" 58841681 "chr11_2" "OR-Cluster-12" "II"
"168" 1141889 "chr11" 59570255 59576235 "-" "Olfr222" 59573245 "chr11_2" "OR-Cluster-13" "II"
"169" 1141920 "chr11" 59588497 59593289 "-" "Olfr223" 59590893 "chr11_2" "OR-Cluster-13" "II"
"170" 1141940 "chr11" 59610585 59615060 "+" "Olfr225" 59612822.5 "chr11_2" "OR-Cluster-13" "II"
"171" 1166162 "chr11" 73350783 73355951 "+" "Olfr20" 73353367 "chr11_3" "OR-Cluster-14" "II"
"172" 1166179 "chr11" 73371246 73377836 "+" "Olfr376" 73374541 "chr11_3" "OR-Cluster-14" "II"
"173" 1166209 "chr11" 73388081 73392214 "-" "Olfr377-ps1" 73390147.5 "chr11_3" "OR-Cluster-14" "II"
"174" 1166222 "chr11" 73393010 73399614 "-" "Olfr1" 73396312 "chr11_3" "OR-Cluster-14" "II"
"175" 1166243 "chr11" 73404076 73409887 "-" "Olfr75-ps1" 73406981.5 "chr11_3" "OR-Cluster-14" "II"
"176" 1166256 "chr11" 73424609 73428477 "-" "Olfr378" 73426543 "chr11_3" "OR-Cluster-14" "II"
"177" 1166266 "chr11" 73433291 73434224 "-" "Olfr379-ps1" 73433757.5 "chr11_3" "OR-Cluster-14" "II"
"178" 1166271 "chr11" 73452886 73457508 "-" "Olfr380" 73455197 "chr11_3" "OR-Cluster-14" "II"
"179" 1166301 "chr11" 73484274 73491603 "-" "Olfr381" 73487938.5 "chr11_3" "OR-Cluster-14" "II"
"180" 1166335 "chr11" 73516259 73517197 "-" "Olfr382" 73516728 "chr11_3" "OR-Cluster-14" "II"
"181" 1166342 "chr11" 73540419 73541353 "-" "Olfr383-ps1" 73540886 "chr11_3" "OR-Cluster-14" "II"
"182" 1166345 "chr11" 73588302 73593008 "-" "Olfr385" 73590655 "chr11_3" "OR-Cluster-14" "II"
"183" 1166361 "chr11" 73598594 73605092 "+" "Olfr384" 73601843 "chr11_3" "OR-Cluster-14" "II"
"184" 1166382 "chr11" 73660049 73665867 "+" "Olfr387-ps1" 73662958 "chr11_3" "OR-Cluster-14" "II"
"185" 1166418 "chr11" 73723322 73727511 "-" "Olfr388-ps1" 73725416.5 "chr11_3" "OR-Cluster-14" "II"
"186" 1166435 "chr11" 73774849 73780713 "-" "Olfr389" 73777781 "chr11_3" "OR-Cluster-14" "II"
"187" 1166467 "chr11" 73782964 73790446 "+" "Olfr390" 73786705 "chr11_3" "OR-Cluster-14" "II"
"188" 1166503 "chr11" 73797861 73803052 "-" "Olfr391-ps" 73800456.5 "chr11_3" "OR-Cluster-14" "II"
"189" 1166513 "chr11" 73811740 73817049 "-" "Olfr392" 73814394.5 "chr11_3" "OR-Cluster-14" "II"
"190" 1166536 "chr11" 73844413 73851454 "-" "Olfr393" 73847933.5 "chr11_3" "OR-Cluster-14" "II"
"191" 1166559 "chr11" 73883337 73890771 "-" "Olfr394" 73887054 "chr11_3" "OR-Cluster-14" "II"
"192" 1166595 "chr11" 73903318 73909299 "-" "Olfr395" 73906308.5 "chr11_3" "OR-Cluster-14" "II"
"193" 1166611 "chr11" 73925002 73929568 "+" "Olfr396-ps1" 73927285 "chr11_3" "OR-Cluster-14" "II"
"194" 1166624 "chr11" 73936677 73942658 "+" "Olfr23" 73939667.5 "chr11_3" "OR-Cluster-14" "II"
"195" 1166640 "chr11" 73951323 73955628 "+" "Olfr22-ps1" 73953475.5 "chr11_3" "OR-Cluster-14" "II"
"196" 1166650 "chr11" 73960817 73967812 "+" "Olfr397" 73964314.5 "chr11_3" "OR-Cluster-14" "II"
"197" 1166681 "chr11" 73979967 73990407 "-" "Olfr398" 73985187 "chr11_3" "OR-Cluster-14" "II"
"198" 1166712 "chr11" 74044033 74056551 "-" "Olfr139" 74050292 "chr11_3" "OR-Cluster-14" "II"
"199" 1166743 "chr11" 74053127 74056615 "-" "Olfr399" 74054871 "chr11_3" "OR-Cluster-14" "II"
"200" 1166811 "chr11" 74104841 74110791 "+" "Olfr400-ps1" 74107816 "chr11_3" "OR-Cluster-14" "II"
"201" 1166815 "chr11" 74113712 74122941 "+" "Olfr401" 74118326.5 "chr11_3" "OR-Cluster-14" "II"
"202" 1166831 "chr11" 74153529 74158161 "+" "Olfr402" 74155845 "chr11_3" "OR-Cluster-14" "II"
"203" 1166848 "chr11" 74186249 74198612 "+" "Olfr403" 74192430.5 "chr11_3" "OR-Cluster-14" "II"
"204" 1166867 "chr11" 74205664 74211379 "-" "Olfr43" 74208521.5 "chr11_3" "OR-Cluster-14" "II"
"205" 1166908 "chr11" 74239566 74240537 "+" "Olfr404-ps1" 74240051.5 "chr11_3" "OR-Cluster-14" "II"
"206" 1166915 "chr11" 74255221 74266236 "-" "Olfr405-ps1" 74260728.5 "chr11_3" "OR-Cluster-14" "II"
"207" 1166921 "chr11" 74259808 74271625 "+" "Olfr406" 74265716.5 "chr11_3" "OR-Cluster-14" "II"
"208" 1166949 "chr11" 74280715 74281732 "-" "Olfr407-ps1" 74281223.5 "chr11_3" "OR-Cluster-14" "II"
"209" 1166953 "chr11" 74283736 74291608 "+" "Olfr59" 74287672 "chr11_3" "OR-Cluster-14" "II"
"210" 1166986 "chr11" 74298133 74299073 "-" "Olfr408-ps1" 74298603 "chr11_3" "OR-Cluster-14" "II"
"211" 1166989 "chr11" 74317027 74317997 "+" "Olfr409-ps1" 74317512 "chr11_3" "OR-Cluster-14" "II"
"212" 1167000 "chr11" 74330281 74338031 "-" "Olfr410" 74334156 "chr11_3" "OR-Cluster-14" "II"
"213" 1167025 "chr11" 74345129 74352650 "-" "Olfr411" 74348889.5 "chr11_3" "OR-Cluster-14" "II"
"214" 1167049 "chr11" 74362069 74366218 "+" "Olfr412" 74364143.5 "chr11_3" "OR-Cluster-14" "II"
"215" 1185744 "chr11" 87884979 87892268 "-" "Olfr462" 87888623.5 "chr11_4" "OR-Cluster-15" "II"
"216" 1185771 "chr11" 87892618 87897387 "-" "Olfr463" 87895002.5 "chr11_4" "OR-Cluster-15" "II"
"217" 1185798 "chr11" 87913268 87920967 "-" "Olfr464" 87917117.5 "chr11_4" "OR-Cluster-15" "II"
"218" 1215182 "chr11" 108687074 108688035 "-" "Olfr1397-ps1" 108687554.5 "chr11_5" NA "II"
"219" 1252994 "chr12" 48903821 48906044 "-" "Olfr1400-ps1" 48904932.5 "chr12_1" NA "II"
"220" 1296732 "chr12" 115934272 115934904 "-" "Olfr241-ps1" 115934588 "chr12_1" NA "II"
"221" 1306824 "chr13" 21069334 21074947 "-" "Olfr1370" 21072140.5 "chr13_1" "OR-Cluster-16" "II"
"222" 1306852 "chr13" 21111483 21119095 "+" "Olfr1369-ps1" 21115289 "chr13_1" "OR-Cluster-16" "II"
"223" 1306903 "chr13" 21129639 21136296 "+" "Olfr263" 21132967.5 "chr13_1" "OR-Cluster-16" "II"
"224" 1306922 "chr13" 21141882 21145867 "-" "Olfr1368" 21143874.5 "chr13_1" "OR-Cluster-16" "II"
"225" 1307088 "chr13" 21346910 21347964 "+" "Olfr1367" 21347437 "chr13_1" "OR-Cluster-17" "II"
"226" 1307479 "chr13" 21535113 21542808 "-" "Olfr1366" 21538960.5 "chr13_1" "OR-Cluster-18" "II"
"227" 1307512 "chr13" 21553894 21559893 "-" "Olfr1535" 21556893.5 "chr13_1" "OR-Cluster-18" "II"
"228" 1307528 "chr13" 21571813 21581759 "-" "Olfr1364" 21576786 "chr13_1" "OR-Cluster-18" "II"
"229" 1307559 "chr13" 21610978 21614022 "-" "Olfr1362" 21612500 "chr13_1" "OR-Cluster-18" "II"
