"seqnames"	"start"	"end"	"width"	"strand"	"source"	"type"	"score"	"phase"	"gene_id"	"gene_type"	"gene_name"	"level"	"mgi_id"	"havana_gene"	"OR_cluster"	"midpoint"	"Class"
"27"	"chr1"	92475925	92485113	9189	"-"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000067064.4"	"protein_coding"	"Olfr1416"	2	"MGI:3031250"	"OTTMUSG00000048560.5"	"OR-Cluster-1"	92480519	"II"
"28"	"chr1"	92489101	92496101	7001	"-"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000057464.4"	"protein_coding"	"Olfr1415"	2	"MGI:3031249"	"OTTMUSG00000048561.4"	"OR-Cluster-1"	92492601	"II"
"29"	"chr1"	92506366	92518661	12296	"-"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000042849.11"	"protein_coding"	"Olfr1414"	2	"MGI:3031248"	"OTTMUSG00000048562.3"	"OR-Cluster-1"	92512513.5	"II"
"30"	"chr1"	173097997	173098248	252	"-"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000103338.1"	"unprocessed_pseudogene"	"Olfr1409-ps1"	2	"MGI:3031243"	"OTTMUSG00000050162.2"	"OR-Cluster-2"	173098122.5	"II"
"31"	"chr1"	173128049	173137374	9326	"-"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000062527.6"	"protein_coding"	"Olfr1408"	2	"MGI:3031242"	"OTTMUSG00000050163.3"	"OR-Cluster-2"	173132711.5	"II"
"32"	"chr1"	173181853	173190640	8788	"-"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000058981.4"	"protein_coding"	"Olfr1406"	2	"MGI:3031240"	"OTTMUSG00000050165.5"	"OR-Cluster-2"	173186246.5	"II"
"33"	"chr1"	174113211	174121162	7952	"-"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000046486.4"	"protein_coding"	"Olfr231"	2	"MGI:3030065"	"OTTMUSG00000050214.3"	"OR-Cluster-3"	174117186.5	"II"
"34"	"chr1"	174248514	174252061	3548	"-"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000050788.5"	"protein_coding"	"Olfr419"	2	"MGI:3030253"	"OTTMUSG00000050218.2"	"OR-Cluster-4"	174250287.5	"II"
"35"	"chr2"	36285023	36285914	892	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000083034.2"	"unprocessed_pseudogene"	"Olfr334-ps1"	2	"MGI:3030168"	"OTTMUSG00000012137.2"	"OR-Cluster-37"	36285468.5	"II"
"36"	"chr2"	36301541	36302479	939	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000113163.1"	"polymorphic_pseudogene"	"Olfr335-ps"	2	"MGI:3030169"	"OTTMUSG00000012145.3"	"OR-Cluster-37"	36302010	"II"
"37"	"chr2"	36323324	36324263	940	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000082583.2"	"unprocessed_pseudogene"	"Olfr336-ps1"	2	"MGI:3030170"	"OTTMUSG00000012136.2"	"OR-Cluster-37"	36323793.5	"II"
"38"	"chr2"	36336611	36337136	526	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000080936.2"	"transcribed_unprocessed_pseudogene"	"Olfr337-ps1"	2	"MGI:3030171"	"OTTMUSG00000012140.2"	"OR-Cluster-37"	36336873.5	"II"
"39"	"chr2"	36373519	36382433	8915	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000068950.3"	"protein_coding"	"Olfr338"	2	"MGI:3030172"	"OTTMUSG00000012143.5"	"OR-Cluster-37"	36377976	"II"
"40"	"chr2"	36418947	36426123	7177	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000094464.2"	"protein_coding"	"Olfr339"	2	"MGI:3030173"	"OTTMUSG00000012139.4"	"OR-Cluster-37"	36422535	"II"
"41"	"chr2"	36452587	36453525	939	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000094266.1"	"protein_coding"	"Olfr340"	2	"MGI:3030174"	"OTTMUSG00000012138.3"	"OR-Cluster-37"	36453056	"II"
"42"	"chr2"	36524998	36530790	5793	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000111869.1"	"protein_coding"	"Olfr342"	2	"MGI:3030176"	"OTTMUSG00000012218.4"	"OR-Cluster-37"	36527894	"II"
"43"	"chr2"	36539197	36539499	303	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000080960.1"	"unprocessed_pseudogene"	"Olfr343-ps1"	2	"MGI:3030177"	"OTTMUSG00000012216.1"	"OR-Cluster-37"	36539348	"II"
"44"	"chr2"	36566662	36576178	9517	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000096822.2"	"protein_coding"	"Olfr344"	2	"MGI:3030178"	"OTTMUSG00000012230.3"	"OR-Cluster-37"	36571420	"II"
"45"	"chr2"	36640041	36640976	936	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000059251.1"	"protein_coding"	"Olfr345"	2	"MGI:3030179"	"OTTMUSG00000012214.3"	"OR-Cluster-37"	36640508.5	"II"
"46"	"chr2"	36685788	36691293	5506	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000094764.2"	"protein_coding"	"Olfr346"	2	"MGI:3030180"	"OTTMUSG00000012205.4"	"OR-Cluster-37"	36688540.5	"II"
"47"	"chr2"	36731902	36737640	5739	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000111863.2"	"protein_coding"	"Olfr347"	2	"MGI:3030181"	"OTTMUSG00000012209.3"	"OR-Cluster-37"	36734771	"II"
"48"	"chr2"	36784276	36789998	5723	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000049315.4"	"protein_coding"	"Olfr348"	2	"MGI:3030182"	"OTTMUSG00000012208.6"	"OR-Cluster-37"	36787137	"II"
"49"	"chr2"	36790538	36797392	6855	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000111021.2"	"protein_coding"	"Olfr50"	2	"MGI:1333746"	"OTTMUSG00000012235.5"	"OR-Cluster-37"	36793965	"II"
"50"	"chr2"	36844518	36845126	609	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000084078.2"	"unprocessed_pseudogene"	"Olfr349-ps1"	2	"MGI:3030183"	"OTTMUSG00000012225.2"	"OR-Cluster-37"	36844822	"II"
"51"	"chr2"	36846310	36851702	5393	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000050015.3"	"protein_coding"	"Olfr350"	2	"MGI:3030184"	"OTTMUSG00000012203.3"	"OR-Cluster-37"	36849006	"II"
"52"	"chr2"	36868460	36872785	4326	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000053146.2"	"protein_coding"	"Olfr352"	2	"MGI:3030186"	"OTTMUSG00000012231.3"	"OR-Cluster-37"	36870622.5	"II"
"53"	"chr2"	36905680	36916038	10359	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000055088.5"	"protein_coding"	"Olfr354"	2	"MGI:3030188"	"OTTMUSG00000012215.5"	"OR-Cluster-37"	36910859	"II"
"54"	"chr2"	36937121	36938068	948	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000070943.3"	"protein_coding"	"Olfr356"	2	"MGI:3030190"	"OTTMUSG00000012229.4"	"OR-Cluster-37"	36937594.5	"II"
"55"	"chr2"	36993827	37001847	8021	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000055838.4"	"protein_coding"	"Olfr357"	2	"MGI:3030191"	"OTTMUSG00000012204.4"	"OR-Cluster-37"	36997837	"II"
"56"	"chr2"	37065746	37069651	3906	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000083361.4"	"protein_coding"	"Olfr360"	2	"MGI:3030194"	"OTTMUSG00000012221.5"	"OR-Cluster-37"	37067698.5	"II"
"57"	"chr2"	37139322	37148585	9264	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000078198.2"	"protein_coding"	"Olfr364-ps1"	2	"MGI:3030198"	"OTTMUSG00000012220.3"	"OR-Cluster-37"	37143953.5	"II"
"58"	"chr2"	37188198	37206019	17822	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000059429.3"	"protein_coding"	"Olfr365"	2	"MGI:3030199"	"OTTMUSG00000012210.4"	"OR-Cluster-37"	37197108.5	"II"
"59"	"chr2"	37211574	37224506	12933	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000068947.2"	"protein_coding"	"Olfr366"	2	"MGI:3030200"	"OTTMUSG00000012206.3"	"OR-Cluster-37"	37218040	"II"
"60"	"chr2"	37266951	37271387	4437	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000049094.7"	"transcribed_unprocessed_pseudogene"	"Olfr367-ps"	2	"MGI:3030201"	"OTTMUSG00000012147.4"	"OR-Cluster-37"	37269169	"II"
"61"	"chr2"	37326515	37332772	6258	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000049018.8"	"protein_coding"	"Olfr368"	2	"MGI:3030202"	"OTTMUSG00000012653.5"	"OR-Cluster-37"	37329643.5	"II"
"62"	"chr2"	85579215	85580282	1068	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000111179.1"	"protein_coding"	"Olfr996"	2	"MGI:3030830"	"OTTMUSG00000013503.3"	"OR-Cluster-38"	85579748.5	"II"
"63"	"chr2"	85585104	85586042	939	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000081047.2"	"unprocessed_pseudogene"	"Olfr997-ps1"	2	"MGI:3030831"	"OTTMUSG00000013508.2"	"OR-Cluster-38"	85585573	"II"
"64"	"chr2"	85588948	85591893	2946	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000111454.2"	"protein_coding"	"Olfr998"	2	"MGI:3030832"	"OTTMUSG00000013507.5"	"OR-Cluster-38"	85590420.5	"II"
"65"	"chr2"	85633431	85634375	945	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000111566.1"	"polymorphic_pseudogene"	"Olfr1001-ps1"	2	"MGI:3030835"	"OTTMUSG00000013509.2"	"OR-Cluster-38"	85633903	"II"
"66"	"chr2"	85653334	85654050	717	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000082577.2"	"unprocessed_pseudogene"	"Olfr1003-ps1"	2	"MGI:3030837"	"OTTMUSG00000013515.2"	"OR-Cluster-38"	85653692	"II"
"67"	"chr2"	85669822	85672240	2419	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000110810.1"	"unprocessed_pseudogene"	"Olfr1005-ps1"	2	"MGI:3030839"	"OTTMUSG00000062667.1"	"OR-Cluster-38"	85671031	"II"
"68"	"chr2"	85683262	85683399	138	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000110855.1"	"unprocessed_pseudogene"	"Olfr1007-ps1"	2	"MGI:3030841"	"OTTMUSG00000062668.1"	"OR-Cluster-38"	85683330.5	"II"
"69"	"chr2"	85689431	85690372	942	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000050603.1"	"protein_coding"	"Olfr1008"	2	"MGI:3030842"	"OTTMUSG00000013556.3"	"OR-Cluster-38"	85689901.5	"II"
"70"	"chr2"	85715419	85725136	9718	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000043226.5"	"protein_coding"	"Olfr1009"	2	"MGI:3030843"	"OTTMUSG00000013558.5"	"OR-Cluster-38"	85720277.5	"II"
"71"	"chr2"	85748352	85754526	6175	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000110879.2"	"polymorphic_pseudogene"	"Olfr1010"	2	"MGI:3030844"	"OTTMUSG00000013555.3"	"OR-Cluster-38"	85751439	"II"
"72"	"chr2"	85767098	85774649	7552	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000053287.4"	"protein_coding"	"Olfr1013"	2	"MGI:3030847"	"OTTMUSG00000013557.8"	"OR-Cluster-38"	85770873.5	"II"
"73"	"chr2"	85772713	85778974	6262	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000059379.3"	"protein_coding"	"Olfr1014"	2	"MGI:3030848"	"OTTMUSG00000013554.4"	"OR-Cluster-38"	85775843.5	"II"
"74"	"chr2"	85782017	85787812	5796	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000033850.5"	"protein_coding"	"Olfr1015"	2	"MGI:3030849"	"OTTMUSG00000013551.4"	"OR-Cluster-38"	85784914.5	"II"
"75"	"chr2"	85818479	85824221	5743	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000043892.3"	"protein_coding"	"Olfr1018"	2	"MGI:3030852"	"OTTMUSG00000013550.4"	"OR-Cluster-38"	85821350	"II"
"76"	"chr2"	85847030	85851794	4765	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000046975.7"	"protein_coding"	"Olfr1020"	2	"MGI:3030854"	"OTTMUSG00000013586.5"	"OR-Cluster-38"	85849412	"II"
"77"	"chr2"	85858928	85864364	5437	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000082754.2"	"polymorphic_pseudogene"	"Olfr1021-ps1"	2	"MGI:3030855"	"OTTMUSG00000013596.2"	"OR-Cluster-38"	85861646	"II"
"78"	"chr2"	85868594	85869541	948	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000057761.1"	"protein_coding"	"Olfr1022"	2	"MGI:3030856"	"OTTMUSG00000013587.2"	"OR-Cluster-38"	85869067.5	"II"
"79"	"chr2"	85885640	85891213	5574	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000050128.5"	"protein_coding"	"Olfr1023"	2	"MGI:3030857"	"OTTMUSG00000013592.4"	"OR-Cluster-38"	85888426.5	"II"
"80"	"chr2"	85915193	85921381	6189	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000058884.6"	"protein_coding"	"Olfr1025-ps1"	2	"MGI:3030859"	"OTTMUSG00000013593.5"	"OR-Cluster-38"	85918287	"II"
"81"	"chr2"	85921558	85924623	3066	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000042863.5"	"protein_coding"	"Olfr1026"	2	"MGI:3030860"	"OTTMUSG00000013591.5"	"OR-Cluster-38"	85923090.5	"II"
"82"	"chr2"	85932145	85933438	1294	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000082892.2"	"unprocessed_pseudogene"	"Olfr1027-ps1"	2	"MGI:3030861"	"OTTMUSG00000013594.2"	"OR-Cluster-38"	85932791.5	"II"
"83"	"chr2"	85950437	85953910	3474	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000057207.2"	"protein_coding"	"Olfr1028"	2	"MGI:3031368"	"OTTMUSG00000013599.3"	"OR-Cluster-38"	85952173.5	"II"
"84"	"chr2"	85973895	85978913	5019	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000059873.4"	"protein_coding"	"Olfr1029"	2	"MGI:3030863"	"OTTMUSG00000013595.4"	"OR-Cluster-38"	85976404	"II"
"85"	"chr2"	85979276	85988294	9019	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000044923.4"	"protein_coding"	"Olfr1030"	2	"MGI:3030864"	"OTTMUSG00000013598.4"	"OR-Cluster-38"	85983785	"II"
"86"	"chr2"	85990304	85993704	3401	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000043267.3"	"protein_coding"	"Olfr1031"	2	"MGI:3030865"	"OTTMUSG00000013588.3"	"OR-Cluster-38"	85992004	"II"
"87"	"chr2"	86005540	86009125	3586	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000042796.2"	"protein_coding"	"Olfr1032"	2	"MGI:3030866"	"OTTMUSG00000013589.3"	"OR-Cluster-38"	86007332.5	"II"
"88"	"chr2"	86020633	86045171	24539	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000045392.8"	"protein_coding"	"Olfr1033"	2	"MGI:3030867"	"OTTMUSG00000013597.4"	"OR-Cluster-38"	86032902	"II"
"89"	"chr2"	86045861	86050742	4882	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000102091.2"	"protein_coding"	"Olfr1034"	2	"MGI:3030868"	"OTTMUSG00000013601.4"	"OR-Cluster-38"	86048301.5	"II"
"90"	"chr2"	86073992	86077194	3203	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000099820.2"	"protein_coding"	"Olfr1036"	2	"MGI:3030870"	"OTTMUSG00000013625.4"	"OR-Cluster-38"	86075593	"II"
"91"	"chr2"	86120223	86126356	6134	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000050577.8"	"polymorphic_pseudogene"	"Olfr1038-ps"	2	"MGI:3030872"	"OTTMUSG00000013640.5"	"OR-Cluster-38"	86123289.5	"II"
"92"	"chr2"	86292455	86299233	6779	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000047149.5"	"protein_coding"	"Olfr1052"	2	"MGI:3030886"	"OTTMUSG00000013533.4"	"OR-Cluster-38"	86295844	"II"
"93"	"chr2"	86497406	86497875	470	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000110999.1"	"unprocessed_pseudogene"	"Olfr1075-ps1"	2	"MGI:3030909"	"OTTMUSG00000062786.1"	"OR-Cluster-38"	86497640.5	"II"
"94"	"chr2"	86508461	86509402	942	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000060742.1"	"protein_coding"	"Olfr1076"	2	"MGI:3030910"	"OTTMUSG00000013612.3"	"OR-Cluster-38"	86508931.5	"II"
"95"	"chr2"	86778503	86778900	398	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000111295.1"	"unprocessed_pseudogene"	"Olfr1092-ps1"	2	"MGI:3030926"	"OTTMUSG00000062806.1"	"OR-Cluster-38"	86778701.5	"II"
"96"	"chr2"	86782479	86787616	5138	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000047969.5"	"protein_coding"	"Olfr1093"	2	"MGI:3030927"	"OTTMUSG00000013699.5"	"OR-Cluster-38"	86785047.5	"II"
"97"	"chr2"	86824663	86830282	5620	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000044213.4"	"protein_coding"	"Olfr1094"	2	"MGI:3030928"	"OTTMUSG00000013702.4"	"OR-Cluster-38"	86827472.5	"II"
"98"	"chr2"	86998398	87003618	5221	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000049843.6"	"protein_coding"	"Olfr1102"	2	"MGI:3030936"	"OTTMUSG00000013700.4"	"OR-Cluster-38"	87001008	"II"
"99"	"chr2"	87187798	87192767	4970	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000044487.2"	"protein_coding"	"Olfr1112"	2	"MGI:3030946"	"OTTMUSG00000013785.3"	"OR-Cluster-38"	87190282.5	"II"
"100"	"chr2"	87208970	87214650	5681	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000070857.4"	"protein_coding"	"Olfr1113"	2	"MGI:3030947"	"OTTMUSG00000013777.3"	"OR-Cluster-38"	87211810	"II"
"101"	"chr2"	87226043	87226746	704	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000111248.1"	"unprocessed_pseudogene"	"Olfr1114-ps1"	2	"MGI:3030948"	"OTTMUSG00000062836.1"	"OR-Cluster-38"	87226394.5	"II"
"102"	"chr2"	87248013	87253868	5856	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000070856.5"	"protein_coding"	"Olfr1115"	2	"MGI:3030949"	"OTTMUSG00000013776.4"	"OR-Cluster-38"	87250940.5	"II"
"103"	"chr2"	87267534	87278262	10729	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000070855.8"	"protein_coding"	"Olfr1116"	2	"MGI:3030950"	"OTTMUSG00000013778.5"	"OR-Cluster-38"	87272898	"II"
"104"	"chr2"	87283212	87285275	2064	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000089732.5"	"polymorphic_pseudogene"	"Olfr1117-ps1"	2	"MGI:3030951"	"OTTMUSG00000013784.3"	"OR-Cluster-38"	87284243.5	"II"
"105"	"chr2"	87307581	87313621	6041	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000083706.3"	"protein_coding"	"Olfr1118"	2	"MGI:3030952"	"OTTMUSG00000013773.6"	"OR-Cluster-38"	87310601	"II"
"106"	"chr2"	87352839	87353472	634	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000111093.1"	"unprocessed_pseudogene"	"Olfr1119-ps1"	2	"MGI:3030953"	"OTTMUSG00000062864.1"	"OR-Cluster-38"	87353155.5	"II"
"107"	"chr2"	87354815	87361786	6972	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000081234.3"	"protein_coding"	"Olfr1120"	2	"MGI:3030954"	"OTTMUSG00000013781.5"	"OR-Cluster-38"	87358300.5	"II"
